samples	condition	batch
Cont-A_S1.merged	ctrl	B
Cont-B_S2.merged	ctrl	B
Cont-C_S3.merged	ctrl	B
Cont-D_S4.merged	ctrl	B
NT_19074709_S20.merged	ctrl	A
NT_19074711_S17.merged	ctrl	A
NT_19074713_S59.merged	ctrl	A
NT_19074715_S37.merged	ctrl	A
NT_19074717_S21.merged	ctrl	A
NT_19074719_S22.merged	ctrl	A
NT_19074721_S50.merged	ctrl	A
NT_19074723_S36.merged	ctrl	A
NT_19074725_S27.merged	ctrl	A
NT_19074727_S44.merged	ctrl	A
NT_19074729_S12.merged	ctrl	A
NT_19074731_S13.merged	ctrl	A
TDP43-E_S5.merged	tdp43kd	B
TDP43-F_S6.merged	tdp43kd	B
TDP43-G_S7.merged	tdp43kd	B
TDP43_19065403_S23.merged	tdp43kd	A
TDP43_19065405_S46.merged	tdp43kd	A
TDP43_19065407_S25.merged	tdp43kd	A
TDP43_19065409_S29.merged	tdp43kd	A
TDP43_19065411_S54.merged	tdp43kd	A
TDP43_19065413_S19.merged	tdp43kd	A
